Run,Level,Steps,SolutionObjects,Mirrors,Refractors,RuleTransitions,Decoys,TotalObjects,GridWidth,GridHeight,Cl,Ch,Ci,MID,Solved,SolvePhase,SearchNodes,SearchTimeMs,TotalPlacements,InPlaceRotations,Relocations,ExecutionTimeMs,SweepIterations,SweepRelocations,SolveTimeMs,GenerationTimeMs
1,1,2,1,1,0,0,0,1,16,16,0.0039,0.0000,0.0000,0.0020,1,Sweep-S1,5,26.37,1,1,0,7216.48,4,0,7544.83,69.21
2,2,3,2,2,0,0,0,2,16,16,0.0078,0.0000,0.0000,0.0039,1,Sweep-S1,5,28.25,1,0,1,6390.65,4,0,6724.00,370.16
3,3,4,3,2,1,1,0,3,16,16,0.0117,0.5000,0.3333,0.2225,1,1A,138,16.33,1,1,0,5811.82,0,0,6447.22,11.58
4,4,5,4,1,3,2,0,4,16,16,0.0156,0.6667,0.7500,0.3578,0,Sweep,762,8264.51,1,0,1,5678.99,57,1,14245.16,11.79
5,4,6,4,3,1,2,0,4,16,16,0.0156,0.6667,0.2500,0.2578,1,Sweep-S1,5,16.57,2,0,2,15361.63,3,0,15683.30,12.34
6,5,7,4,3,1,1,0,4,16,16,0.0156,0.3333,0.2500,0.1578,0,Sweep,691,50.13,3,3,0,26702.17,106,0,27064.23,11.45
7,5,8,7,5,2,3,0,7,16,16,0.0273,0.5000,0.2857,0.2208,0,Sweep,70402,5715.01,3,3,0,25533.86,120,0,31562.18,12.54
8,5,9,7,4,3,5,0,7,16,16,0.0273,0.8333,0.4286,0.3494,0,Sweep,4818,402.28,4,4,0,33140.12,129,0,33847.15,11.84
9,5,2,1,1,0,0,1,2,16,16,0.0039,0.0000,0.0000,0.0020,1,Sweep-S1,5,14.69,1,1,0,5388.17,4,0,5715.81,12.22
10,6,3,2,2,0,0,1,3,16,16,0.0078,0.0000,0.0000,0.0039,1,1B,1,16.05,1,0,1,7764.79,0,0,8392.21,12.27
11,7,4,3,1,2,1,1,4,16,16,0.0117,0.5000,0.6667,0.2892,1,Sweep-S1,166,31.62,3,3,0,18134.06,21,0,18469.04,11.09
12,8,5,4,3,1,2,1,5,16,16,0.0156,0.6667,0.2500,0.2578,0,Sweep,4769,405.50,3,3,0,32117.16,152,0,32832.67,11.89
13,8,6,3,1,2,2,1,4,16,16,0.0117,1.0000,0.6667,0.4392,1,Sweep-S1,4112,353.44,1,0,1,7394.75,7,0,8048.87,12.02
14,9,7,6,3,3,5,1,7,16,16,0.0234,1.0000,0.5000,0.4117,0,Sweep,216800,8003.85,0,0,0,7526.76,73,0,15834.01,12.02
15,9,8,7,6,1,2,1,8,16,16,0.0273,0.3333,0.1429,0.1422,0,Sweep,253000,8014.56,0,0,0,10054.99,96,0,18376.59,11.66
16,9,9,4,3,1,1,1,5,16,16,0.0156,0.3333,0.2500,0.1578,0,Sweep,811,13797.24,1,0,1,10109.31,106,1,24209.93,10.86
17,9,2,1,1,0,0,2,3,16,16,0.0039,0.0000,0.0000,0.0020,1,Trivial,0,0.00,0,0,0,0.00,0,0,311.31,10.62
18,10,3,2,2,0,0,2,4,16,16,0.0078,0.0000,0.0000,0.0039,1,Sweep-S1,5,13.37,1,0,1,7238.16,4,0,7560.58,10.86
19,11,4,3,2,1,1,2,5,16,16,0.0117,0.5000,0.3333,0.2225,0,Sweep,770,10573.82,1,0,1,6286.62,65,1,17161.87,10.44
20,11,5,3,2,1,1,2,5,16,16,0.0117,0.5000,0.3333,0.2225,1,1B,1,12.45,1,0,1,7308.08,0,0,7929.57,10.71
21,12,6,5,5,0,0,2,7,16,16,0.0195,0.0000,0.0000,0.0098,0,Sweep,296000,8004.88,0,0,0,10566.01,109,0,18872.28,9.40
22,12,7,5,3,2,3,2,7,16,16,0.0195,0.7500,0.4000,0.3148,0,Sweep,65812,4725.68,6,6,0,36915.16,139,0,41946.75,11.08
23,12,8,4,3,1,1,2,6,16,16,0.0156,0.3333,0.2500,0.1578,1,Sweep-S1,5,13.34,1,0,1,6825.26,4,0,7139.25,10.10
