Run,Level,Steps,SolutionObjects,Mirrors,Refractors,RuleTransitions,Decoys,TotalObjects,GridWidth,GridHeight,Cl,Ch,Ci,MID,Solved,SolvePhase,SearchNodes,SearchTimeMs,TotalPlacements,InPlaceRotations,Relocations,ExecutionTimeMs,SweepIterations,SweepRelocations,SolveTimeMs,GenerationTimeMs
1,1,3,2,2,0,0,0,2,16,16,0.0078,0,0,0.0039,1,Sweep-S1,21,53.88,2,2,0,10351.97,12,0,10710.19,27.71
2,2,4,3,1,2,1,0,3,16,16,0.0117,0.5,0.6667,0.2892,0,Sweep,303,25.5,2,2,0,22820.41,101,0,23155.09,55.06
3,2,5,3,1,2,1,0,3,16,16,0.0117,0.5,0.6667,0.2892,1,1B,1,27.87,1,0,1,4370.32,0,0,5019.97,15.16
4,3,6,5,4,1,2,0,5,16,16,0.0195,0.5,0.2,0.1998,0,Sweep,794,41.45,3,3,0,22245.87,88,0,22591.05,11.73
5,3,7,4,2,2,3,0,4,16,16,0.0156,1,0.5,0.4078,0,Sweep,1089,59.3,3,3,0,18878.13,64,0,19239.49,10.86
6,3,8,5,2,3,2,0,5,16,16,0.0195,0.5,0.6,0.2798,1,Sweep-S1,5,9.9,1,0,1,6869.45,4,0,7184.75,10.77
7,4,9,7,5,2,4,0,7,16,16,0.0273,0.6667,0.2857,0.2708,1,Sweep-S1,77,18.62,5,5,0,28367.74,12,0,28689.99,11.1
8,5,3,2,2,0,0,1,3,16,16,0.0117,0,0,0.0059,1,Sweep-S1,6,9.22,1,1,0,5304.28,4,0,5614.94,10.42
9,6,4,3,2,1,2,1,4,16,16,0.0156,1,0.3333,0.3745,0,Sweep,734,6527.85,1,0,1,6056.09,61,1,12886.9,10.71
10,6,5,3,1,2,2,1,4,16,16,0.0156,1,0.6667,0.4411,1,Sweep-S1,6,10.3,1,0,1,7426.24,5,0,7737.73,11.18
11,7,6,5,4,1,1,1,6,16,16,0.0234,0.25,0.2,0.1267,0,Sweep,190,18.01,5,5,0,34199.89,116,0,34528.02,11.23
12,7,7,4,2,2,3,1,5,16,16,0.0195,1,0.5,0.4098,1,1B,1,9.7,1,0,1,4860.61,0,0,5474.64,10.31
13,8,8,7,3,4,5,1,8,16,16,0.0313,0.8333,0.5714,0.3799,0,Sweep,37007,2250.5,4,4,0,28073.84,132,0,30630.6,11.06
14,8,9,7,5,2,1,1,8,16,16,0.0313,0.1667,0.2857,0.1228,0,Sweep,798,19900.21,1,0,1,12727.78,93,1,32933.84,11.11
15,8,3,2,2,0,0,2,4,16,16,0.0156,0,0,0.0078,1,Trivial,0,0,0,0,0,0,0,0,301.3,10.44
